City_ID,City,Latitude,Longitude,Max Temp (C),Humidity (g per kg),Cloudiness (%),Wind Speed (m per s),Country,Date
0,Krasnokamensk,50.0979,118.0369,17.220000000000027,81,100,1.26,RU,2023-07-25 14:56:45
1,St. John'S,47.5649,-52.7093,30.150000000000034,51,40,5.66,CA,2023-07-25 14:53:14
2,Vorgashor,67.5833,63.95,16.120000000000005,87,100,3.15,RU,2023-07-25 14:56:46
3,Yellowknife,62.456,-114.3525,24.29000000000002,38,75,8.75,CA,2023-07-25 14:55:18
4,Kerikeri,-35.2268,173.9474,9.950000000000045,86,6,0.89,NZ,2023-07-25 14:56:46
5,Blackmans Bay,-43.0167,147.3167,12.050000000000011,73,100,5.5,AU,2023-07-25 14:56:46
6,Port-Aux-Francais,-49.35,70.2167,3.390000000000043,71,100,6.74,TF,2023-07-25 14:56:47
7,Manta,-0.95,-80.7333,29.879999999999995,69,40,4.47,EC,2023-07-25 14:54:29
8,Egilsstadir,65.2653,-14.3948,8.950000000000045,76,75,6.69,IS,2023-07-25 14:56:47
9,Enewetak,11.3474,162.3373,28.410000000000025,78,23,6.07,MH,2023-07-25 14:56:48
10,Udachny,66.4167,112.4,17.74000000000001,61,100,2.04,RU,2023-07-25 14:56:48
11,Novodvinsk,64.4165,40.8122,12.300000000000011,94,36,1.91,RU,2023-07-25 14:56:48
12,Uturoa,-16.7333,-151.4333,26.620000000000005,83,3,6.19,PF,2023-07-25 14:56:48
13,Sao Joao Da Barra,-21.6403,-41.0511,26.05000000000001,79,5,6.23,BR,2023-07-25 14:53:10
14,Kilju,40.9642,129.3278,22.439999999999998,84,95,1.59,KP,2023-07-25 14:56:50
15,Grytviken,-54.2811,-36.5092,-3.349999999999966,80,62,5.17,GS,2023-07-25 14:56:50
16,Tshabong,-26.05,22.45,20.160000000000025,19,30,8.07,BW,2023-07-25 14:56:51
17,Viedma,-40.8135,-62.9967,9.189999999999998,69,100,8.38,AR,2023-07-25 14:56:51
18,Praia Da Vitoria,38.7333,-27.0667,24.140000000000043,78,40,4.29,PT,2023-07-25 14:56:52
19,Castillos,-34.1667,-53.8333,12.670000000000016,92,100,4.07,UY,2023-07-25 14:56:53
20,Sarangani,5.4033,125.4636,27.189999999999998,81,99,3.94,PH,2023-07-25 14:56:53
21,Waitangi,-43.9535,-176.5597,9.340000000000032,98,100,2.24,NZ,2023-07-25 14:56:54
22,Takaungu,-3.6837,39.8566,25.27000000000004,82,9,7.32,KE,2023-07-25 14:56:54
23,Manacapuru,-3.2997,-60.6206,34.76000000000005,33,2,0.36,BR,2023-07-25 14:56:54
24,Whitehorse,60.7161,-135.0538,16.680000000000007,77,75,2.06,CA,2023-07-25 14:56:55
25,Sinjai,-5.1241,120.253,24.590000000000032,87,96,1.22,ID,2023-07-25 14:56:55
26,Hermanus,-34.4187,19.2345,6.560000000000002,71,0,3.04,ZA,2023-07-25 14:54:19
27,Richards Bay,-28.783,32.0377,17.600000000000023,72,14,5.94,ZA,2023-07-25 14:56:55
28,Cibitoke,-2.8833,29.25,22.680000000000007,60,40,1.63,BI,2023-07-25 14:56:56
29,Camabatela,-8.1881,15.375,20.110000000000014,44,0,1.43,AO,2023-07-25 14:56:56
30,Santa Ana,33.7456,-117.8678,39.960000000000036,63,20,2.57,US,2023-07-25 14:54:56
31,Okha,53.5739,142.9478,12.860000000000014,97,99,5.68,RU,2023-07-25 14:56:56
32,Puerto Baquerizo Moreno,-0.9,-89.6,27.55000000000001,74,20,6.69,EC,2023-07-25 14:56:56
33,Port Mathurin,-19.6833,63.4167,23.560000000000002,76,20,8.25,MU,2023-07-25 14:55:17
34,Namibe,-15.1961,12.1522,16.939999999999998,85,100,2.78,AO,2023-07-25 14:56:57
35,College,64.8569,-147.8028,22.83000000000004,75,40,2.06,US,2023-07-25 14:56:57
36,Jamestown,42.097,-79.2353,26.77000000000004,60,40,3.09,US,2023-07-25 14:55:37
